Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.99999999999727,499.59182738627726,463.5543170067723,500.0,500.0,500.0,500.13706856043177,500.13706856043177,500.13706856043177,499.62756118428115,499.62756118428115,499.62756118428115
2015-06-04,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.99999999999864,499.6428490250189,464.7729731044218,500.0,500.0,500.0,500.1149160658165,500.1149160658165,500.1149160658165,499.67715256427186,499.67715256427186,499.67715256427186
2015-06-05,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.9999999999993,499.6874929443804,465.9494925252683,500.0,500.0,500.0,500.09628783170825,500.09628783170825,500.09628783170825,499.72061081558843,499.72061081558843,499.72061081558843
2015-06-08,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.99999999999966,499.7265563626915,467.085423191722,500.0,500.0,500.0,500.0806346227033,500.0806346227033,500.0806346227033,499.7586016781138,499.7586016781138,499.7586016781138
2015-06-09,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.99999999999983,499.7607368451921,468.1822502023476,500.0,500.0,500.0,500.06749042088336,500.06749042088336,500.06749042088336,499.7917379351496,499.7917379351496,499.7917379351496
2015-06-10,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.9999999999999,499.79064476085586,469.2413987673965,500.0,500.0,500.0,500.05646032145404,500.05646032145404,500.05646032145404,499.82057913831665,499.82057913831665,499.82057913831665
2015-06-11,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,499.99999999999994,499.8168141820664,470.26423698280394,500.0,500.0,500.0,500.0472100789781,500.0472100789781,500.0472100789781,499.8456327329602,499.8456327329602,499.8456327329602
2015-06-12,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.83971242180127,471.2520784530443,500.0,500.0,500.0,500.03945710413126,500.03945710413126,500.03945710413126,499.86735616572935,499.86735616572935,499.86735616572935
2015-06-15,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.85974837864114,472.20618477247757,500.0,500.0,500.0,500.0329627290972,500.0329627290972,500.0329627290972,499.88615964693264,499.88615964693264,499.88615964693264
2015-06-16,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.87727983863425,473.1277678741149,500.0,500.0,500.0,500.02752557790586,500.02752557790586,500.02752557790586,499.9024093146974,499.9024093146974,499.9024093146974
2015-06-17,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.8926198644118,474.01799225409064,500.0,500.0,500.0,500.0229758956074,500.0229758956074,500.0229758956074,499.9164306083263,499.9164306083263,499.9164306083263
2015-06-18,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9060423856531,474.87797707953376,500.0,500.0,500.0,500.0191707067759,500.0191707067759,500.0191707067759,499.9285117068594,499.9285117068594,499.9285117068594
2015-06-19,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.91778709073316,475.7087981869877,500.0,500.0,500.0,500.01598968923497,500.01598968923497,500.01598968923497,499.93890692762415,499.93890692762415,499.93890692762415
2015-06-22,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9280637069079,476.51148997802574,500.0,500.0,500.0,500.0133316629725,500.0133316629725,500.0133316629725,499.94784001020497,499.94784001020497,499.94784001020497
2015-06-23,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.93705574547096,477.2870472182468,500.0,500.0,500.0,500.01111160694654,500.01111160694654,500.01111160694654,499.9555072352376,499.9555072352376,499.9555072352376
2015-06-24,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.94492377876213,478.03642674540913,500.0,500.0,500.0,500.00925812788955,500.00925812788955,500.00925812788955,499.96208034596566,499.96208034596566,499.96208034596566
2015-06-25,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9518083075462,478.7605490920673,500.0,500.0,500.0,500.0077113153675,500.0077113153675,500.0077113153675,499.9677092546359,499.9677092546359,499.9677092546359
2015-06-26,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9578322699676,479.4603000277138,500.0,500.0,500.0,500.0064209263116,500.0064209263116,500.0064209263116,499.97252452638344,499.97252452638344,499.97252452638344
2015-06-29,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.96310323688357,480.1365320250901,500.0,500.0,500.0,500.00534485012344,500.00534485012344,500.00534485012344,499.9766396410688,499.9766396410688,499.9766396410688
2015-06-30,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.96771533277996,480.79006565502317,500.0,500.0,500.0,500.00444781234046,500.00444781234046,500.00444781234046,499.98015303905214,499.98015303905214,499.98015303905214
2015-07-01,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.97175091657056,481.4216909138537,500.0,500.0,500.0,500.0037002808546,500.0037002808546,500.0037002808546,499.9831499607361,499.9831499607361,499.9831499607361
2015-07-02,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.97528205229634,482.0321684872585,500.0,500.0,500.0,500.0030775438813,500.0030775438813,500.0030775438813,499.98570409216956,499.98570409216956,499.98570409216956
2015-07-03,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.97837179598673,482.6222309540216,500.0,500.0,500.0,500.00255893338243,500.00255893338243,500.00255893338243,499.9878790304577,499.9878790304577,499.9878790304577
2015-07-06,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.98107532166256,483.1925839330796,500.0,500.0,500.0,500.0021271715317,500.0021271715317,500.0021271715317,499.98972958340573,499.98972958340573,499.98972958340573
2015-07-07,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9834409065881,483.74390717695707,500.0,500.0,500.0,500.0017678211513,500.0017678211513,500.0017678211513,499.99130291792983,499.99130291792983,499.99130291792983
2015-07-08,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.98551079336664,484.2768556145069,500.0,500.0,500.0,500.0014688239164,500.0014688239164,500.0014688239164,499.9926395714775,499.9926395714775,499.9926395714775
2015-07-09,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.987321944274,484.7920603456923,500.0,500.0,500.0,500.00122011258014,500.00122011258014,500.00122011258014,499.99377434011564,499.99377434011564,499.99377434011564
2015-07-10,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.98890670129964,485.2901295909726,500.0,500.0,500.0,500.0010132855673,500.0010132855673,500.0010132855673,499.99473705617504,499.99473705617504,499.99473705617504
2015-07-13,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99029336368295,485.77164959770124,500.0,500.0,500.0,500.00084133407705,500.00084133407705,500.00084133407705,499.9955532674693,499.9955532674693,499.9955532674693
2015-07-14,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99150669325763,486.23718550579343,500.0,500.0,500.0,500.00069841335795,500.00069841335795,500.00069841335795,499.9962448291593,499.9962448291593,499.9962448291593
2015-07-15,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99256835662726,486.687282174786,500.0,500.0,500.0,500.0005796511127,500.0005796511127,500.0005796511127,499.9968304183844,499.9968304183844,499.9968304183844
2015-07-16,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9934973120694,487.1224649742849,500.0,500.0,500.0,500.0004809870935,500.0004809870935,500.0004809870935,499.9973259808441,499.9973259808441,499.9973259808441
2015-07-20,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99431014807647,487.543240539675,500.0,500.0,500.0,500.00039903887927,500.00039903887927,500.00039903887927,499.9977451176064,499.9977451176064,499.9977451176064
2015-07-21,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99502137957893,487.9500974948571,500.0,500.0,500.0,500.00033098961586,500.00033098961586,500.00033098961586,499.99809941955334,499.99809941955334,499.99809941955334
2015-07-22,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99564370714074,488.34350714367383,500.0,500.0,500.0,500.0002744941712,500.0002744941712,500.0002744941712,499.99839875608876,499.99839875608876,499.99839875608876
2015-07-23,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9961882437552,488.7239241315884,500.0,500.0,500.0,500.0002276007192,500.0002276007192,500.0002276007192,499.99865152397587,499.99865152397587,499.99865152397587
2015-07-24,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9966647132912,489.0917870790905,500.0,500.0,500.0,500.000188685244,500.000188685244,500.000188685244,499.9988648615004,499.9988648615004,499.9988648615004
2015-07-27,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99708162413395,489.44751918822027,500.0,500.0,500.0,500.00015639685995,500.00015639685995,500.00015639685995,499.99904483254977,499.99904483254977,499.99904483254977
2015-07-28,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9974464211204,489.79152882351934,500.0,500.0,500.0,500.00012961217783,500.00012961217783,500.00012961217783,499.99919658461897,499.99919658461897,499.99919658461897
2015-07-29,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9977656184828,490.12421006864815,500.0,500.0,500.0,500.000107397236,500.000107397236,500.000107397236,499.9993244842812,499.9993244842812,499.9993244842812
2015-07-30,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9980449161743,490.4459432598362,500.0,500.0,500.0,500.0000889757547,500.0000889757547,500.0000889757547,499.9994322332,499.9994322332,499.9994322332
2015-07-31,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9982893016539,490.7570954972694,500.0,500.0,500.0,500.00007370267195,500.00007370267195,500.00007370267195,499.9995229673689,499.9995229673689,499.9995229673689
2015-08-04,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99850313894825,491.0580211354565,500.0,500.0,500.0,500.00006104209024,500.00006104209024,500.00006104209024,499.9995993419167,499.9995993419167,499.9995993419167
2015-08-05,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99869024658057,491.34906225356076,500.0,500.0,500.0,500.0000505489045,500.0000505489045,500.0000505489045,499.9996636035072,499.9996636035072,499.9996636035072
2015-08-06,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99885396575866,491.63054910662976,500.0,500.0,500.0,500.0000418535023,500.0000418535023,500.0000418535023,499.99971765208585,499.99971765208585,499.99971765208585
2015-08-07,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.9989972200393,491.9028005586045,500.0,500.0,500.0,500.0000346490264,500.0000346490264,500.0000346490264,499.9997630934992,499.9997630934992,499.9997630934992
2015-08-10,500.0,,,100.0,,,0.0,0.0,,500.0,500.0,500.0,500.0,499.99912256753476,492.16612449794485,500.0,500.0,500.0,500.0000286807731,500.0000286807731,500.0000286807731,499.99980128429183,499.99980128429183,499.99980128429183
